,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SOG,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nicholas Suzuki,MTL,25,F,82,30,59,89,8,19,20:03,16:01,3:24,0:37,24,4,2,9,5,36,23,0,7,2,60,27,2,16,7,30.3%,1.094,2.152,3.246,1.096,1.644,2.741,0.859,4.937,5.795,0.366,0.72,1.085,172,17.4%,63,71,680,638,51.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mikko Rantanen,TOT  ,28,F,82,32,56,88,60,13,21:14,17:22,3:51,0:01,21,11,0,6,0,41,15,0,9,1,62,26,0,15,1,29.5%,1.102,1.928,3.03,0.884,1.726,2.61,2.089,2.849,4.938,0.39,0.683,1.073,212,15.1%,48,44,135,120,52.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jesper Bratt,NJD,26,F,81,21,67,88,18,5,18:56,14:33,2:50,1:32,15,4,2,2,0,35,30,2,13,1,50,34,4,15,1,38.6%,0.821,2.619,3.44,0.763,1.781,2.545,1.041,7.805,8.846,0.259,0.827,1.086,180,11.7%,95,42,0,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mark Scheifele,WPG,31,F,82,39,48,87,61,12,20:26,17:28,2:49,0:08,28,11,0,11,3,34,14,0,12,4,62,25,0,23,7,28.7%,1.396,1.718,3.114,1.172,1.424,2.596,2.857,3.636,6.493,0.476,0.585,1.061,181,21.6%,73,60,627,641,49.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,William Nylander,TOR,28,F,82,45,39,84,26,10,19:30,16:16,3:12,0:01,33,12,0,8,2,21,18,0,8,1,54,30,0,16,3,35.7%,1.688,1.463,3.15,1.484,0.944,2.428,2.734,4.1,6.834,0.549,0.476,1.024,253,17.8%,14,27,76,77,49.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Martin Necas,TOT  ,25,F,79,27,56,83,16,5,18:59,15:21,3:35,0:03,15,12,0,8,0,31,25,0,10,4,46,37,0,18,4,44.6%,1.079,2.239,3.318,0.742,1.534,2.276,2.541,5.293,7.834,0.342,0.709,1.051,194,13.9%,62,23,51,84,37.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Brayden Point,TBL,28,F,77,42,40,82,7,17,19:28,15:59,3:27,0:01,26,16,0,7,2,25,15,0,7,0,51,31,0,14,2,37.8%,1.68,1.6,3.28,1.267,1.218,2.485,3.599,3.374,6.974,0.545,0.519,1.065,189,22.2%,26,45,430,456,48.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Matt Duchene,DAL,33,F,82,30,52,82,12,13,17:08,14:33,2:30,0:04,22,8,0,6,1,33,19,0,9,2,55,27,0,15,3,32.9%,1.28,2.22,3.5,1.106,1.659,2.765,2.327,5.528,7.855,0.366,0.634,1,152,19.7%,29,21,440,400,52.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dylan Strome,WSH,27,F,82,29,53,82,34,2,17:23,14:21,2:59,0:01,20,9,0,3,0,28,25,0,12,4,48,34,0,15,4,41.5%,1.221,2.231,3.452,1.019,1.426,2.445,2.197,6.102,8.299,0.354,0.646,1,149,19.5%,23,54,691,596,53.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Zachary Werenski,CBJ,27,D,81,23,59,82,31,12,26:44,22:27,2:41,1:35,17,5,1,5,2,37,20,2,8,1,54,25,3,13,3,30.5%,0.637,1.634,2.271,0.561,1.22,1.781,1.378,5.513,6.892,0.284,0.728,1.012,298,7.7%,19,131,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sam Reinhart,FLA,29,F,79,39,42,81,27,6,20:30,15:41,3:14,1:33,21,13,5,4,0,24,17,1,7,3,45,30,6,11,3,37.0%,1.445,1.556,3.001,1.016,1.161,2.177,3.043,3.98,7.023,0.494,0.532,1.025,213,18.3%,102,62,212,302,41.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Robert Thomas,STL,25,F,70,21,60,81,20,20,19:57,16:14,2:24,1:18,17,3,1,5,1,44,16,0,16,4,61,19,1,21,5,23.5%,0.902,2.577,3.479,0.897,2.321,3.218,1.067,5.692,6.76,0.3,0.857,1.157,145,14.5%,13,48,733,605,54.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jake Guentzel,TBL,30,F,80,41,39,80,24,18,19:59,16:04,3:25,0:29,23,17,1,5,0,28,11,0,7,2,51,28,1,12,2,35.0%,1.538,1.463,3.001,1.073,1.306,2.38,3.724,2.409,6.133,0.513,0.488,1,217,18.9%,28,52,177,207,46.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Jason Robertson,DAL,25,F,82,35,45,80,18,10,17:47,14:42,3:04,0:00,26,9,0,6,1,35,10,0,11,3,61,19,0,17,4,23.8%,1.439,1.85,3.29,1.293,1.741,3.034,2.138,2.376,4.514,0.427,0.549,0.976,211,16.6%,59,45,7,12,36.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Lucas Raymond,DET,22,F,82,27,53,80,18,-15,18:47,14:58,3:04,0:43,18,8,1,5,1,24,29,0,6,1,42,37,1,11,2,46.3%,1.052,2.065,3.116,0.879,1.173,2.052,1.901,6.89,8.791,0.329,0.646,0.976,192,14.1%,42,34,1,7,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Tim Stützle,OTT,22,F,82,24,55,79,46,0,19:48,16:16,3:30,0:01,19,5,0,2,2,27,28,0,11,4,46,33,0,13,6,41.8%,0.886,2.031,2.918,0.854,1.214,2.068,1.041,5.832,6.873,0.293,0.671,0.963,162,14.8%,129,45,195,213,47.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Auston Matthews,TOR,27,F,67,33,45,78,20,11,20:28,15:51,2:59,1:37,21,10,2,2,1,30,15,0,7,4,51,25,2,9,5,32.1%,1.444,1.968,3.412,1.186,1.694,2.879,2.992,4.487,7.479,0.493,0.672,1.164,261,12.6%,45,89,695,528,56.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Filip Forsberg,NSH,30,F,82,31,45,76,44,-27,18:37,15:25,3:10,0:01,21,10,0,3,0,29,16,0,12,1,50,26,0,15,1,34.2%,1.218,1.768,2.985,0.996,1.375,2.371,2.305,3.688,5.993,0.378,0.549,0.927,282,11.0%,150,52,4,13,23.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Travis Konecny,PHI,27,F,82,24,52,76,53,-17,20:36,16:35,2:47,1:13,15,8,1,3,0,41,9,2,8,4,56,17,3,11,4,22.4%,0.852,1.847,2.699,0.662,1.808,2.47,2.094,2.356,4.45,0.293,0.634,0.927,188,12.8%,94,42,39,61,39.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Quinn Hughes,VAN,25,D,68,16,60,76,29,2,25:43,21:50,3:42,0:10,12,4,0,3,0,35,25,0,10,5,47,29,0,13,5,38.2%,0.549,2.058,2.606,0.485,1.414,1.898,0.952,5.952,6.904,0.235,0.882,1.118,192,8.3%,13,67,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
